epoch,train_loss,val_loss,train_mae,val_mae,train_mape,val_mape,train_a20,val_a20
1,10487.46875,0.189802349,17.18201447,0.333512336,550.6281738,11.4055872,0.62020576,0.863562107
2,0.352265477,0.189373791,0.341837853,0.335082978,11.5557375,11.38955593,0.865630448,0.868566155
3,0.255074203,0.193784922,0.337653667,0.346624225,11.41448784,11.50546837,0.865718067,0.878778577
4,0.189258397,0.19123663,0.335579962,0.341824263,11.34540749,11.43751526,0.865936935,0.877553105
5,0.247872829,0.193682209,0.338053644,0.346452385,11.42355633,11.50283718,0.866024494,0.875868082
6,0.194011509,0.190919831,0.335959524,0.332630008,11.35441875,11.44386673,0.866506159,0.861774921
7,0.199549466,0.19741863,0.33589834,0.333899736,11.35819435,11.66052532,0.865652382,0.849775314
